# purchases.txt
# Format: timestamp|student_id|product|qty|unit_price_eur
2025-04-03T10:45:00|100398|Borraccia|2|48.99
2025-06-05T01:59:00|100434|Webcam|4|9.93
2025-05-02T11:47:00|100962|SSD|4|112.23
2025-03-04T19:21:00|100715|Zaino|4|6.88
2025-09-02T16:28:00|100656|Borraccia|3|196.49
2025-04-08T05:45:00|100025|SSD|3|202.2
2025-07-24T04:09:00|100582|Notebook|1|191.42
2025-04-17T08:02:00|100268|Libro|3|169.17
2025-03-10T11:27:00|100930|Libro|2|85.45
2025-01-01T23:58:00|100080|Mouse|3|67.73
2025-03-22T05:34:00|100487|Cuffie|1|121.29
2025-02-05T20:37:00|100222|SSD|1|66.46
2025-02-19T22:47:00|100063|Borraccia|1|63.47
2025-02-16T20:17:00|100357|Monitor|4|197.13
2025-09-05T20:42:00|100078|Zaino|3|46.05
2025-03-17T08:32:00|100282|SSD|2|107.62
2025-11-30T21:33:00|100328|Cuffie|1|47.37
2025-01-10T02:06:00|100106|Monitor|3|87.01
2025-11-23T02:30:00|100113|Webcam|4|123.02
2025-01-27T14:44:00|100094|Libro|1|38.28
2025-12-04T04:20:00|100810|Mouse|4|197.95
2025-05-30T00:45:00|100496|Mouse|4|25.08
2025-09-24T17:03:00|100529|Monitor|4|215.9
2025-11-04T21:53:00|100116|Mouse|4|182.72
2025-10-08T23:00:00|100450|Cuffie|2|147.76
2025-04-27T17:15:00|100424|Mouse|4|192.0
2025-08-22T23:13:00|100886|Notebook|3|213.47
2025-06-01T08:13:00|100384|Zaino|3|81.66
2025-02-19T02:27:00|100603|Cuffie|4|75.34
2025-04-20T12:35:00|100559|Cuffie|2|83.42
2025-06-24T16:05:00|100254|Libro|2|65.69
2025-10-10T18:58:00|100410|Tastiera|1|105.65
2025-12-18T07:10:00|100344|SSD|1|19.31
2025-08-29T19:33:00|100553|Borraccia|4|96.97
2025-12-20T09:50:00|100620|Zaino|1|180.18
2025-05-28T17:05:00|100007|Tastiera|3|48.97
2025-12-03T18:29:00|100184|Webcam|4|97.45
2025-06-11T23:21:00|100262|Cuffie|1|142.16
2025-02-14T22:04:00|100169|Cuffie|2|193.08
2025-09-28T04:59:00|100967|Borraccia|4|27.9
2025-06-24T01:01:00|100005|SSD|4|180.91
2025-01-06T21:45:00|100549|Libro|4|31.89
2025-01-07T03:20:00|100655|Webcam|2|124.45
2025-05-02T21:05:00|100973|Webcam|4|105.87
2025-03-26T18:26:00|100124|SSD|3|35.14
2025-04-04T17:42:00|100710|Webcam|4|47.66
2025-02-15T02:24:00|100009|Webcam|1|36.48
2025-02-05T07:44:00|100848|Tastiera|3|35.27
2025-08-04T07:03:00|100692|Borraccia|4|51.57
2025-02-08T01:46:00|100358|Webcam|4|216.87
2025-03-10T17:38:00|100776|Libro|4|205.96
2025-12-13T00:37:00|100111|Monitor|3|157.6
2025-11-13T17:28:00|100359|Monitor|4|170.48
2025-10-24T11:56:00|100304|Notebook|4|117.66
2025-06-21T02:41:00|100200|Borraccia|3|8.46
2025-09-25T07:35:00|100156|Tastiera|3|208.17
2025-10-04T22:34:00|100699|Cuffie|2|172.77
2025-05-27T04:20:00|100981|Tastiera|2|185.12
